 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
     100.0       0.69      87.60        1.0         38        251        215        439        0.0          0          0          0          0          0          0          0       0.06          0          0 
     105.0       0.82      76.50        1.0         38        137        264        444        0.0          0          0          0          0          0          0          0       0.06          0          0 
     110.0       0.99      55.80        1.2         51        147        306        426        0.0          0          0          0          0          0          0          0       0.06          0          0 
     115.0       0.99      55.20        1.1         51        120        309        430        0.0          0          0          0          0          0          0          0       0.06          0          0 
     120.0       0.99      56.19        0.9         49       1186        285        449        0.0          0          0          0          0          0          0          0       0.06          0          0 
     125.0       1.91      31.47        1.4         49        601        294        430        0.0          0          0          0          0          0          0          0       0.06          0          0 
     130.0       0.69      86.57        2.3         54        252        289        430        0.0          0          0          0          0          0          0          0       0.06          0          0 
     135.0       0.81      74.20        2.3         54        359        307        432        0.0          0          0          0          0          0          0          0       0.06          0          0 
     140.0       1.93      31.09        1.1         54        726        310        446        0.0          0          0          0          0          0          0          0       0.06          0          0 
     145.0       0.98      61.28        1.9         54        573        310        435        0.0          0          0          0          0          0          0          0       0.06          0          0 
     150.0       0.69      87.57        2.3         54        188        304        426        0.0          0          0          0          0          0          0          0       0.06          0          0 
     155.0       0.68      87.88        0.2         54        674        305        426          0          0          0          0          0          0          0          0       0.07          0          0 
     160.0       0.57     105.60        0.2         52        538        305        407          0          0          0          0          0          0          0          0       0.02          0          0 
     165.0       0.58     103.52        0.2         52        621        333        407          0          0          0          0          0          0          0          0       0.02          0          0 
     170.0       0.58     104.26        0.5         52        467        347        437        0.0          0          0          0          0          0          0          0       0.05          0          0 
     175.0       0.58     102.63        1.7         52        552        384        440          0          0          0          0          0          0          0          0       0.02          0          0 
     180.0       0.58     104.17        1.3         52        463        382        440          0          0          0          0          0          0          0          0       0.02          0          0 
     185.0       0.58     104.11        0.9         52        516        369        440          0          0          0          0          0          0          0          0       0.02          0          0 
     190.0       0.57     106.18        0.3         52        618        374        440          0          0          0          0          0          0          0          0       0.03          0          0 
     195.0       0.57     104.96        1.0         69        492        397        440          0          0          0          0          0          0          0          0       0.03          0          0 
     200.0       0.56     107.00        1.5         74        395        390        444          0          0          0          0          0          0          0          0       0.03          0          0 
     205.0       0.66      91.50        2.9         79        759        423        460        0.0          0          0          0          0          0          0          0       0.03          0          0 
     210.0       0.58     104.23        0.8         95        620        447        472        0.0          0          0          0          0          0          0          0       0.02          0          0 
     215.0       0.56     107.34        0.3         98        592        459        430          0          0          0          0          0          0          0          0       0.03          0          0 
     220.0       0.56     107.29        0.4         98        488        464        430          0          0          0          0          0          0          0          0       0.03          0          0 
     225.0       0.56     106.84        2.0         98        703        449        430          0          0          0          0          0          0          0          0       0.03          0          0 
     230.0       0.56     107.33        2.5         98        942        483        430          0          0          0          0          0          0          0          0       0.02          0          0 
     235.0       0.57     106.04        0.9         98        857        494        430          0          0          0          0          0          0          0          0       0.02          0          0 
     240.0       0.56     107.11        1.1         98        949        518        430          0          0          0          0          0          0          0          0       0.02          0          0 
     245.0       0.62      97.04        0.3         72        323        792        660          0          0          0          0          0          0          0          0       0.02          0          0 
     250.0       0.57     105.72        1.4         95        465        741        660        0.0          0          0          0          0          0          0          0       0.02          0          0 
     255.0       0.50     121.12        0.8        119        775        779        660        0.0          0          0          0          0          0          0          0       0.02          0          0 
