  MeasDpth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
    100.00        406          0          0          0          0          0          0          0          0     100.00        800          0          0          0 
    101.31        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    102.62        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    103.94        405          0          0          0          0          0          0          0          0          0          0          0          0          5 
    105.25        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    106.56        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    107.87        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    109.19        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.50        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    111.81        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    113.12        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    114.44        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.75        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    117.06        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    118.37        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    119.69        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    121.00        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    122.31        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    123.62        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    124.93        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    126.25        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    127.56        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    128.87        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.18        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    131.50        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    132.81        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    134.12        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    135.43        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    136.75        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    138.06        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    139.37        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    140.68        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    141.99        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    143.31        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    144.62        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    145.93        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    147.24        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    148.56        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    150.00        405          0          0          0          0          0          0          0          0     100.00        405          0          0          0 
    151.18        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    152.49        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    153.81        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    155.12        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    156.43        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    157.74        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
    159.71        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    161.02        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    162.34        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    163.65        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    164.96        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    166.27        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    167.59        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    168.90        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    170.21        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
