 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
      95.0       1.40      42.36        3.4         48        365        268        270          0          0          0          0          0          1          2          0          0          0          0 
      99.0       1.30      46.15        4.0         48        356        268        449          0          0          0          0          0          0          0          0          0          0          0 
     100.0       1.27      42.15        4.0         48        356        326        449          0          0          0          0          0          1          2          0          0          0          0 
     105.0       1.32      45.31        2.4         90        367        479        449        0.0          0          0          0          0          0          0          0          0          0          0 
     110.0       1.09      55.06        2.8         89        347        488        449        0.0          0          0          0          0          0          0          0          0          0          0 
     115.0       1.21      49.56        2.1         89        395        463        449        0.0          0          0          0          0          0          0          0          0          0          0 
     120.0       1.01      59.48        2.8         89        364        462        449        0.0          0          0          0          0          0          0          0          0          0          0 
     125.0       1.32      45.63        2.4         89        463        446        449        0.0          0          0          0          0          0          0          0          0          0          0 
     130.0       0.93      64.29        2.6         89        560        478        449        0.0          0          0          0          0          0          0          0          0          0          0 
     135.0       0.98      60.97        3.9         92        515        548        475        0.0          0          0          0          0          0          0          0          0          0          0 
     140.0       0.88      68.27        4.5         95        463        593        497        0.0          0          0          0          0          0          0          0          0          0          0 
     145.0       0.83      72.55        3.5        104        531        569        497        0.0          0          0          0          0          0          0          0          0          0          0 
     150.0       0.98      61.36        3.4        105        585        515        497        0.0          0          0          0          0          0          0          0          0          0          0 
     155.0       0.85      70.70        4.3        105        598        494        497        0.0          0          0          0          0          0          0          0          0          0          0 
     160.0       0.89      67.20        3.7        105        609        516        497        0.0          0          0          0          0          0          0          0          0          0          0 
     165.0       0.92      62.20        3.4        104        527        526        497        0.0          0          0          0          0          0          0          0          0          0          0 
     170.0       0.99      60.36        2.3        105        449        519        497        0.0          0          0          0          0          0          0          0          0          0          0 
     175.0       1.13      53.00        2.9         95        263        546        519        0.0          0          0          0          0          0          0          0          0          0          0 
     180.0       1.25      47.96        2.5        110        502        639        550        0.0          0          0          0          0          0          0          0          0          0          0 
     185.0       1.69      35.59        2.3        110        536        651        550        0.0          0          0          0          0          0          0          0          0          0          0 
     190.0       1.55      38.67        3.9        112        378        665        563        0.0          0          0          0          0          0          0          0          0          0          0 
     195.0       1.52      39.44        2.8        115        370        724        594        0.0          0          0          0          0          0          0          0          0          0          0 
     200.0       1.22      49.23        3.5        115        352        717        594        0.0          0          0          0          0          0          0          0          0          0          0 
     205.0       1.70      35.26        3.4        114        394        759        612        0.0          0          0          0          0          0          0          0          0          0          0 
     210.0       0.79      75.66        1.4        119        563        851        647        0.0          0          0          0          0          0          0          0          0          0          0 
     215.0       0.82      73.52        3.2        120        453        859        652        0.0          0          0          0          0          0          0          0          0          0          0 
     220.0       0.77      78.29        4.5        125        417        937        700        0.0          0          0          0          0          0          0          0          0          0          0 
     225.0       0.80      75.32        4.9        125        551        933        700        0.0          0          0          0          0          0          0          0          0          0          0 
     230.0       0.72      82.79        5.7        125        601        949        700        0.0          0          0          0          0          0          0          0          0          0          0 
     235.0       0.98      61.46        4.6        131        473        938        700        0.0          0          0          0          0          0          0          0          0          0          0 
     240.0       0.77      77.44        5.2        136        642        931        700        0.0          0          0          0          0          0          0          0          0          0          0 
     245.0       1.68      35.71        4.5        136        474        938        700        0.0          0          0          0          0          0          0          0          0          0          0 
     250.0       1.66      36.21        2.6        136        558        940        700        0.0          0          0          0          0          0          0          0          0          0          0 
     255.0       1.72      34.84        3.5        136        733        930        700        0.0          0          0          0          0          0          0          0          0          0          0 
     260.0       1.20      49.80        3.3        136        550        941        700        0.0          0          0          0          0          0          0          0          0          0          0 
     265.0       0.73      81.82        2.0         54        157        603        499        0.0          0          0          0          0          0          0          0          0          0          0 
     270.0       1.35      44.35        5.0         54        135        612        499        0.0          0          0          0          0          0          0          0          0          0          0 
     275.0       1.39      45.32        7.4         54        183        615        499        0.0          0          0          0          0          0          0          0          0          0          0 
     280.0       1.46      41.15        8.0         54        119        599        499        0.0          0          0          0          0          0          0          0          0          0          0 
     285.0       1.62      37.06        8.9         54        175        601        499        0.0          0          0          0          0          0          0          0          0          0          0 
     290.0       1.88      31.95        8.2         54        165        594        499        0.0          0          0          0          0          0          0          0          0          0          0 
     295.0       1.36      44.11        7.0         57        171        615        504        0.0          0          0          0          0          0          0          0          0          0          0 
     300.0       1.00      59.69        6.3        111        770        738        563        0.0          0          0          0          0          0          0          0          0          0          0 
     305.0       1.03      58.40        6.1        115        754        803        588        0.0          0          0          0          0          0          0          0          0          0          0 
     310.0       0.49     123.21        4.7        112        811        750        561        0.0          0          0          0          0          0          0          0          0          0          0 
     315.0       0.42     142.09        3.7        112        808        747        561        0.0          0          0          0          0          0          0          0          0          0          0 
     320.0       0.41     146.14        3.8        112        980        739        561        0.0          0          0          0          0          0          0          0          0          0          0 
     325.0       0.82      73.16        4.5         96        761        666        520        0.0          0          0          0          0          0          0          0          0          0          0 
     330.0       0.70      85.43        5.6        106        909        671        518        0.0          0          0          0          0          0          0          0          0          0          0 
     335.0       0.54     111.79        6.2        109       1036        735        550        0.0          0          0          0          0          0          0          0          0          0          0 
     340.0       0.69      87.54        6.3        103        803        724        546        0.0          0          0          0          0          0          0          0          0          0          0 
     345.0       0.49     121.54        2.8         54        174        651        501        0.0          0          0          0          0          0          0          0          0          0          0 
     350.0       0.43     141.01        2.9         54        167        639        501        0.0          0          0          0          0          0          0          0          0          0          0 
     355.0       0.45     132.54        2.2         54         59        637        501        0.0          0          0          0          0          0          0          0          0          0          0 
     360.0       0.40     149.37        3.8         54        106        621        501        0.0          0          0          0          0          0          0          0          0          0          0 
     365.0       0.41     150.26        4.5         54        251        635        501        0.0          0          0          0          0          0          0          0          0          0          0 
     370.0       0.39     153.14        4.5         54        145        636        501        0.0          0          0          0          0          0          0          0          0          0          0 
     375.0       0.38     156.19        4.3         54         66        643        501        0.0          0          0          0          0          0          0          0          0          0          0 
     380.0       0.45     132.63        4.6         60        170        644        501        0.0          0          0          0          0          0          0          0          0          0          0 
     385.0       0.41     147.60        3.8         95       1014        632        501        0.0          0          0          0          0          0          0          0          0          0          0 
     390.0       0.45     133.95        4.4         91        643        650        508        0.0          0          0          0          0          0          0          0          0          0          0 
     395.0       0.41     146.12        2.3        103        418        696        526        0.0          0          0          0          0          0          0          0          0          0          0 
     400.0       0.41     147.87        2.0        108        888        700        526        0.0          0          0          0          0          0          0          0          0          0          0 
     405.0       0.38     156.13        2.6        108       1114        700        526        0.0          0          0          0          0          0          0          0          0          0          0 
     410.0       0.39     154.61        2.6        108       1144        697        526        0.0          0          0          0          0          0          0          0          0          0          0 
     415.0       0.51     118.06        2.2         83        699        712        531        0.0          0          0          0          0          0          0          0          0          0          0 
     420.0       0.41     146.12        2.3        103        418        696        526        0.0          0          0          0          0          0          0          0          0          0          0 
     425.0       0.40     148.44        1.7         57         36        678        524        0.0          0          0          0          0          0          0          0          0          0          0 
     430.0       0.40     149.84        2.1         57         38        679        524        0.0          0          0          0          0          0          0          0          0          0          0 
     435.0       0.46     131.85        3.0         57         90        675        524        0.0          0          0          0          0          0          0          0          0          0          0 
     440.0       0.38     157.52        4.0         57        123        686        524        0.0          0          0          0          0          0          0          0          0          0          0 
     445.0       0.39     154.27        3.1         57         30        694        524        0.0          0          0          0          0          0          0          0          0          0          0 
     450.0       0.39     152.59        1.6         57         77        691        524        0.0          0          0          0          0          0          0          0          0          0          0 
     455.0       0.47     127.45        1.4         57         70        693        524        0.0          0          0          0          0          0          0          0          0          0          0 
     460.0       0.39     153.13        0.8         57         39        675        524        0.0          0          0          0          0          0          0          0          0          0          0 
     465.0       0.51     118.06        3.1         57        269        689        523        0.0          0          0          0          0          0          0          0          0          0          0 
     470.0       0.57     105.08        1.5         66        181        693        523        0.0          0          0          0          0          0          0          0          0          0          0 
     475.0       0.39     153.81        2.1         98        537        684        523        0.0          0          0          0          0          0          0          0          0          0          0 
     480.0       1.09      54.82        2.8         96        737        695        522        0.0          0          0          0          0          0          0          0          0          0          0 
     485.0       1.48      40.63        4.9         54        276        664        498        0.0          0          0          0          0          0          0          0          0          0          0 
     490.0       1.60      37.55        4.4         54        274        670        498        0.0          0          0          0          0          0          0          0          0          0          0 
     495.0       1.54      38.86        5.4         54        257        677        498        0.0          0          0          0          0          0          0          0          0          0          0 
     500.0       1.01      59.40        5.8         54        388        697        498        0.0          0          0          0          0          0          0          0          0          0          0 
     505.0       0.50     120.20        4.3         54        316        686        498        0.0          0          0          0          0          0          0          0          0          0          0 
     510.0       0.64      93.26        4.6         54        323        680        497        0.0          0          0          0          0          0          0          0          0          0          0 
     510.0       0.64      93.26        4.6         54        323        680        497        0.0          0          0          0          0          0          0          0          0          0          0 
     520.0       0.53     113.33        4.8         53        405        665        488        0.0          0          0          0          0          0          0          0          0          0          0 
     525.0       0.87      69.32        6.5         54        322        683        493        0.0          0          0          0          0          0          0          0          0          0          0 
     530.0       0.56     106.44        5.0         54        393        699        500        0.0          0          0          0          0          0          0          0          0          0          0 
     535.0       1.65      36.43        6.3         54        244        704        500        0.0          0          0          0          0          0          0          0          0          0          0 
