  MeasDpth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
     95.24        800     100.00        800          0          0          0          0          0          0          0          0          0          0          0 
     96.56        326     100.00        326          0          0          0          0          0          0          0          0          0          0          0 
     97.87        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    103.44        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.76        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    106.07        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    107.38        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    108.69        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.01        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    111.32        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    112.63        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    113.94        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.26        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    116.57        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    117.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    119.19        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.51        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    121.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    123.13        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    124.44        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.75        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    127.07        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    128.38        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    129.69        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    131.00        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    132.32        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    133.63        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    134.94        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    136.25        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    137.57        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    138.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    140.19        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    141.50        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    142.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    144.13        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    145.44        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    146.75        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    147.41        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    148.72        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    150.00        326     100.00        326          0          0          0          0          0          0          0          0          0          0          0 
    150.69        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    152.00        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    153.31        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    154.63        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    155.94        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    157.25        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    158.56        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    159.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    161.19        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    162.50        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    163.81        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    164.40        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    165.72        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    167.03        326          0          0          0          0          0          0          0          0          0          0          0          0          5 
    168.34        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    169.91        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    171.92        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    173.23        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    174.54        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    175.85        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    177.17        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    178.48        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    179.89        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    181.20        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    182.51        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    183.83        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    185.89        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    187.20        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    188.52        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    189.99        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    191.31        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    192.62        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    193.93        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    195.24        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    196.56        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    197.87        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    200.00        406      80.00        326          0          0          0          0          0          0      20.00        406          0          0          0 
    200.82        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    202.13        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    203.44        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    204.76        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    205.51          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    206.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    208.14        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    209.45        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    210.76        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    212.07        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    213.39        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    214.70        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    216.01        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    217.32        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    218.64        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    219.95        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    221.26        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    222.57        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    223.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    225.20        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    226.51        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    227.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    229.13        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    230.45        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    231.76        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    233.07        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    234.38        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    235.70        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    237.01        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    238.32        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    239.63        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    240.94        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    242.26        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    243.57        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    244.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    245.31        817          0          0          0          0          0          0          0          0          0          0          0          0          0 
    246.62        817          0          0          0          0          0          0          0          0          0          0          0          0          0 
    247.93        817          0          0          0          0          0          0          0          0          0          0          0          0          0 
    250.00        407      90.00        326      10.00        817          0          0          0          0          0          0          0          0          0 
    250.10        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    251.41        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    252.72        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    253.84        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    254.04        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    255.35        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    256.66        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    257.78        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    259.09        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    260.40        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    261.71        407          0          0          0          0          0          0          0          0          0          0          0          0          5 
    262.96        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    263.03        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    264.34        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    265.65        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    266.96        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    268.27        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    269.59        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    270.90        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    272.21        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    273.52        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    274.84        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    276.15        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    277.46        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    278.77        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    280.09        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    281.40        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    282.71        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    284.02        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    285.33        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    286.65        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    287.96        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    289.27        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    290.58        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    291.90        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    293.21        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    294.52        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    295.83        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    297.15        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    298.46        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    299.77        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    301.08        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    302.40        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
    303.71        407          0          0          0          0          0          0          0          0          0          0          0          0          0 
