 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     100.0          0          0        0.0          0          0          0          0          0          0          0          0          0          0          0          0 
     105.0     141.73       0.42        0.0         40        503        359        437          0          0          0          0          0          0          0          0 
     110.0     101.86       0.59        0.0         51       1187        392        454          0          0          0          0          0          0          0          0 
     115.0     101.83       0.59        0.0         51       1245        371        454          0          0          0          0          0          0          0          0 
     120.0     124.22       0.48        0.0         51       1123        384        454          0          0          0          0          0          0          0          0 
     125.0      88.08       0.68        0.0         51        905        383        454          0          0          0          0          0          0          0          0 
     130.0     105.88       0.57        0.0         50        590        398        467          0          0          0          0          0          0          0          0 
     135.0     105.27       0.57        0.0         50       1014        398        467          0          0          0          0          0          0          0          0 
     140.0      80.31       0.75        0.0         52       1124        407        472          0          0          0          0          0          0          0          0 
     145.0      82.19       0.73        0.0         52        933        415        472          0          0          0          0          0          0          0          0 
     150.0      83.48       0.72        0.0         52       1015        414        472        0.0          0          0          0          0          0          0          0 
     155.0      83.39       0.72        0.0         52       1052        411        472        0.0          0          0          0          0          0          0          0 
     160.0      78.17       0.77        0.0         51        873        433        483        0.0          0          0          0          0          0          0          0 
     165.0      82.34       0.73        0.0         50        996        469        502        0.0          0          0          0          0          0          0          0 
     170.0      82.72       0.73        0.0         50        867        485        502        0.0          0          0          0          0          0          0          0 
     175.0      82.64       0.73        0.0         50        950        471        503        0.0          0          0          0          0          0          0          0 
     180.0      67.15       0.89        0.5         50       1031        467        503        0.0          0          0          0          0          0          0          0 
     185.0      82.76       0.73        0.0         50        910        485        503        0.0          0          0          0          0          0          0          0 
     190.0      65.33       0.92        0.2         52        832        504        516        0.0          0          0          0          0          0          0          0 
     195.0     103.77       0.58        0.2         60        993        587        560        0.0          0          0          0          0          0          0          0 
     200.0      68.94       0.87        0.9         60       1226        590        560        0.0          0          0          0          0          0          0          0 
     205.0      83.78       0.72        1.3         60       1289        591        560        0.0          0          0          0          0          0          0          0 
     210.0      94.70       0.63        1.0         60       1136        589        560        0.0          0          0          0          0          0          0          0 
     215.0      59.61       1.01        1.2         60       1031        599        562        0.0          0          0          0          0          0          0          0 
