 Bit Depth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    135.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    135.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    135.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    135.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    135.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    135.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
