  MeasDpth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
     98.00          0          0          0     100.00        800          0          0          0          0          0          0          0          0          0 
     99.31        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    100.00          0     100.00        406          0          0          0          0          0          0          0          0          0          0          0 
    100.62        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    101.94        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    103.25        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.56        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    105.87        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    107.19        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    108.50        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    109.81        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    111.12        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    112.43        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    113.75        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    115.06        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    116.37        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    117.68        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    119.00        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.31        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    121.62        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    122.93        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    124.25        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    125.56        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    126.87        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    128.18        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    129.49        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    130.81        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    132.12        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    133.43        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    134.74        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    136.06        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    137.37        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    138.68        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    139.99        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    141.31        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    142.62        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    143.93        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    145.24        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    146.56        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    147.87        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    149.18        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    150.00          0     100.00        406          0          0          0          0          0          0          0          0          0          0          0 
    150.20        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    151.51        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    152.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    154.13        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    155.18        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    155.45        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    156.50        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    156.76        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    157.81        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    158.07        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    159.12        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    159.38        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    159.81        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    160.70        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    162.01        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    163.32        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    164.63        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    165.94        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    167.26        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    168.57        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    169.88        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    171.19        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    172.51        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    173.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    175.13        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    176.44        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    177.76        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    179.07        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    180.38        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    181.69        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    183.01        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    184.32        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    185.63        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    186.94        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    188.25        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    189.57        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    189.99        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
    190.88        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    191.31        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    192.19        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    192.62        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    193.50        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    193.93        406          0          0          0          0          0          0          0          0          0          0          0          0          0 
    194.82        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
