 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
      61.0      28.79       2.08        0.5         12        201         22        153        0.0          0          0          0          0          0          0          0 
      65.0      49.22       1.22        0.5         12        225         29        153        0.0          0          0          0          0          0          0          0 
      70.0      56.51       1.06        1.2         15       1172         30        153        0.0          0          0          0          0          0          0          0 
      75.0      52.79       1.14        1.2         19       1091         55        201        0.0          0          0          0          0          0          0          0 
      80.0      64.30       0.93        1.5         33       1518         67        223          0          0          0          0          0          0          0          0 
      85.0      77.43       0.77        0.5         50       1116        114        300          0          0          0          0          0          0          0          0 
      90.0      79.52       0.75        0.6         50        966        113        301          0          0          0          0          0          0          0          0 
      95.0     120.01       0.50        0.9         46        636        116        302          0          0          0          0          0          0          0          0 
     100.0      96.86       0.62        1.5         46        600        182        304        0.0          0          0          0          0          0          0          0 
     105.0      77.39       0.78        3.0         50        922        188        304        0.0          0          0          0          0          0          0          0 
     110.0      71.97       0.83        3.8         47       1207        177        304        0.0          0          0          0          0          0          0          0 
     115.0      72.47       0.83        2.8         48        867        204        304        0.0          0          0          0          0          0          0          0 
     120.0      77.43       0.77        1.7         49        547        203        304        0.0          0          0          0          0          0          0          0 
     125.0      79.26       0.76        2.4         50        739        199        304        0.0          0          0          0          0          0          0          0 
     130.0      73.54       0.82        1.8         28        774        143        302        0.0          0          0          0          0          0          0          0 
     135.0      69.50       0.86        1.5         29       1089        180        300        0.0          0          0          0          0          0          0          0 
     140.0      76.87       0.78        1.0         30        936        239        300        0.0          0          0          0          0          0          0          0 
     145.0      77.16       0.78        1.4         30        727        232        306        0.0          0          0          0          0          0          0          0 
     150.0      77.02       0.78        1.6         30        768        214        309        0.0          0          0          0          0          0          0          0 
     155.0      76.78       0.78        1.9         30       1044        225        309        0.0          0          0          0          0          0          0          0 
     160.0      77.24       0.78        1.9         30        987        211        309        0.0          0          0          0          0          0          0          0 
     165.0      82.99       0.72        1.8         31       1198        198        318        0.0          0          0          0          0          0          0          0 
     170.0     101.86       0.59        2.3         31       2636        175        345        0.0          0          0          0          0          0          0          0 
     175.0     104.59       0.57        2.0         31       2638        176        346        0.0          0          0          0          0          0          0          0 
     180.0     102.60       0.58        1.9         45       1887        195        353        0.0          0          0          0          0          0          0          0 
     185.0     104.97       0.57        1.4         51       1903        292        362        0.0          0          0          0          0          0          0          0 
     190.0     105.98       0.57        1.9         51       2067        302        362        0.0          0          0          0          0          0          0          0 
     195.0      94.09       0.64        2.5         51       2510        289        362        0.0          0          0          0          0          0          0          0 
     200.0     103.06       0.58        3.9         50       1973        294        362        0.0          0          0          0          0          0          0          0 
     205.0      81.90       0.73        5.6         50       2996        345        400        0.0          0          0          0          0          0          0          0 
     210.0      78.67       0.76        2.5         50       4478        359        411        0.0          0          0          0          0          0          0          0 
     215.0      52.73       1.14        2.5         50       4121        367        411        0.0          0          0          0          0          0          0          0 
     220.0      70.29       0.85        2.0         50       2955        362        414        0.0          0          0          0          0          0          0          0 
     225.0      95.77       0.63        2.7         50       3676        380        423        0.0          0          0          0          0          0          0          0 
     230.0     101.47       0.59        4.9         50       2924        375        422        0.0          0          0          0          0          0          0          0 
     235.0     105.03       0.57        5.2         50       2661        387        422        0.0          0          0          0          0          0          0          0 
     240.0      93.80       0.64        6.9         50       3207        393        422        0.0          0          0          0          0          0          0          0 
     245.0      56.64       1.06        7.0         50       3687        385        422        0.0          0          0          0          0          0          0          0 
     250.0      55.71       1.08        5.7         50       2967        402        435        0.0          0          0          0          0          0          0          0 
     255.0      95.97       0.63        4.0         51       1646        491        482        0.0          0          0          0          0          0          0          0 
     260.0      77.19       0.78        2.6         56       2244        505        482        0.0          0          0          0          0          0          0          0 
     265.0     103.01       0.58        2.9         60       2670        504        482        0.0          0          0          0          0          0          0          0 
     270.0      98.18       0.61        2.6         60       3009        493        482        0.0          0          0          0          0          0          0          0 
     275.0     106.23       0.56        3.7         60       2641        508        482        0.0          0          0          0          0          0          0          0 
     280.0     103.91       0.58        4.4         60       2097        516        482        0.0          0          0          0          0          0          0          0 
     285.0      98.88       0.61        3.0         61       1041        621        547        0.0          0          0          0          0          0          0          0 
     290.0     103.81       0.58        3.2         61       1748        633        557        0.0          0          0          0          0          0          0          0 
     295.0     101.82       0.59        4.6         61       2291        634        557        0.0          0          0          0          0          0          0          0 
     300.0     103.00       0.58        5.8         61       3483        641        557        0.0          0          0          0          0          0          0          0 
     305.0     103.29       0.58        4.3         61       3370        637        558        0.0          0          0          0          0          0          0          0 
     310.0     104.62       0.57        3.6         61       4059        623        558        0.0          0          0          0          0          0          0          0 
     315.0      97.05       0.62        3.4         60       3825        608        557        0.0          0          0          0          0          0          0          0 
     320.0     103.76       0.58        2.1         60       3073        629        557        0.0          0          0          0          0          0          0          0 
     325.0     101.85       0.59        2.2         60       2938        626        561        0.0          0          0          0          0          0          0          0 
     330.0     102.59       0.58        1.7         60       4993        648        562        0.0          0          0          0          0          0          0          0 
     335.0     116.00       0.52        3.2         60       4284        635        562        0.0          0          0          0          0          0          0          0 
     340.0     121.98       0.49        4.2         60       4318        636        562        0.0          0          0          0          0          0          0          0 
     345.0      99.64       0.60        4.5         60       4185        637        562        0.0          0          0          0          0          0          0          0 
     350.0     125.90       0.48        5.7         59       4104        692        590        0.0          0          0          0          0          0          0          0 
     355.0     130.46       0.46        5.0         60       3228        727        601        0.0          0          0          0          0          0          0          0 
     360.0     128.56       0.47        4.8         60       3400        704        601        0.0          0          0          0          0          0          0          0 
     365.0     132.79       0.45        5.2         60       2554        706        601        0.0          0          0          0          0          0          0          0 
     370.0     131.46       0.46        5.3         60       1834        714        602        0.0          0          0          0          0          0          0          0 
     375.0     114.98       0.52        3.6         61       1440        751        617        0.0          0          0          0          0          0          0          0 
     380.0     131.39       0.46        4.7         61       2255        746        621        0.0          0          0          0          0          0          0          0 
     385.0     130.91       0.46        4.9         61       2532        744        621        0.0          0          0          0          0          0          0          0 
     390.0     127.68       0.47        4.1         61       2562        744        621        0.0          0          0          0          0          0          0          0 
     395.0     133.99       0.45        3.8         61       2351        749        621        0.0          0          0          0          0          0          0          0 
     400.0     130.47       0.46        4.6         61       4006        744        621        0.0          0          0          0          0          0          0          0 
     405.0     115.02       0.52        2.9         60       3219        749        621        0.0          0          0          0          0          0          0          0 
     410.0     128.61       0.47        2.6         58       3979        766        621        0.0          0          0          0          0          0          0          0 
     415.0     126.79       0.47        2.6         50       3203        762        621        0.0          0          0          0          0          0          0          0 
     420.0     130.92       0.46        2.6         50       3681        776        621        0.0          0          0          0          0          0          0          0 
     425.0     128.61       0.47        2.2         50       3001        785        621        0.0          0          0          0          0          0          0          0 
     430.0     134.09       0.45        2.1         50       2287        802        620        0.0          0          0          0          0          0          0          0 
     435.0     115.69       0.52        3.0         53       2839        790        621        0.0          0          0          0          0          0          0          0 
     440.0     132.34       0.45        2.8         60       2800        806        621        0.0          0          0          0          0          0          0          0 
     445.0     114.03       0.53        6.2         60       3860        808        621        0.0          0          0          0          0          0          0          0 
     450.0     124.29       0.48        6.1         57       4618        808        621        0.0          0          0          0          0          0          0          0 
     455.0     118.85       0.50        6.5         50       3914        803        620        0.0          0          0          0          0          0          0          0 
     460.0     134.06       0.45        5.6         50       3043        794        620        0.0          0          0          0          0          0          0          0 
     465.0     104.07       0.58        6.3         49       1759        790        621        0.0          0          0          0          0          0          0          0 
     470.0     147.90       0.41        3.0         59       1305        810        620        0.0          0          0          0          0          0          0          0 
     475.0     130.91       0.46        4.8         60       1769        811        620        0.0          0          0          0          0          0          0          0 
     480.0     127.29       0.47        4.5         60       1775        817        620        0.0          0          0          0          0          0          0          0 
     485.0      96.08       0.62        5.4         60       2186        816        620        0.0          0          0          0          0          0          0          0 
