  MeasDpth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
     60.99          0     100.00        800          0          0          0          0          0          0          0          0          0          0          0 
     62.30        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     63.62        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     64.93        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     66.24        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
     67.55        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
     68.60        405          0          0          0          0          0          0          0          0          0          0          0          0          0 
     68.86        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     69.91        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     70.18        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     71.23        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     71.49        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     72.54        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     72.80        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     73.85        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     74.11        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     75.16        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     75.43        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     76.48        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     76.74        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     77.30          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
     77.79        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     78.05        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     79.10        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     79.36        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     80.41        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     80.68        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     81.73        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     81.99        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     83.04        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     83.30        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     84.35        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     84.61        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     85.66        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     85.93        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     86.98        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     87.24        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     88.19        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     88.29        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     88.55        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     89.60        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     89.86        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
     90.91        326          0          0          0          0          0          0          0          0          0          0          0          0          0 
