 Bit Depth   ROP ft/hr       ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     101.0      33.34       1.80        0.5         44       1203         62        210          0          0          0          0          0          0          0          0 
     105.0      42.86       1.40        0.5         44       1103        104        210          0          0          0          0          0          0          0          0 
     110.0      74.58       0.80        0.9         33       1203        183        227          0          0          0          0          0          0          0          0 
     115.0      72.92       0.82        1.1         49        854        336        311          0          0          0          0          0          0          0          0 
     120.0      77.49       0.77        1.5         49        737        332        206          0          0          0          0          0          0          0          0 
     125.0      74.06       0.81        4.5         50        707        326        206          0          0          0          0          0          0          0          0 
     130.0      61.94       0.97        1.3         49       1304        351        365          0          0          0          0          0          0          0          0 
     135.0      77.16       0.78        1.6         50       1442        340        415          0          0          0          0          0          0          0          0 
     140.0      76.78       0.78        3.1         68       1519        418        463          0          0          0          0          0          0          0          0 
     145.0      76.74       0.78        2.3         69       1279        415        284          0          0          0          0          0          0          0          0 
     150.0      76.79       0.78        1.7         68       1096        425        231          0          0          0          0          0          0          0          0 
     155.0      77.14       0.78        1.5         69        822        420        322          0          0          0          0          0          0          0          0 
     160.0      78.47       0.76        1.9         69       1011        420        462          0          0          0          0          0          0          0          0 
     165.0      77.72       0.77        1.6         65       1204        422        462          0          0          0          0          0          0          0          0 
     170.0      76.79       0.78        1.5         51       1938        429        463          0          0          0          0          0          0          0          0 
     175.0      74.58       0.80        1.2         56       2933        406        463          0          0          0          0          0          0          0          0 
     180.0      77.06       0.78        3.1         56       2347        413        463          0          0          0          0          0          0          0          0 
     185.0      77.04       0.78        2.2         57       1875        430        463          0          0          0          0          0          0          0          0 
     190.0      77.66       0.77        1.8         60       1362        418        462          0          0          0          0          0          0          0          0 
     195.0      76.34       0.79        1.4         63       1310        430        459          0          0          0          0          0          0          0          0 
     200.0      84.86       0.71        1.5         71       1633        444        463          0          0          0          0          0          0          0          0 
     205.0      75.86       0.79        3.6         71       2125        494        501          0          0          0          0          0          0          0          0 
     210.0      87.81       0.68        1.9         71       1258        598        564          0          0          0          0          0          0          0          0 
     215.0      88.09       0.68        3.1         71       1596        605        564          0          0          0          0          0          0          0          0 
     220.0      82.27       0.73        2.1         88       1236        593        565          0          0          0          0          0          0          0          0 
     225.0      80.19       0.75        1.3         90       1004        621        571          0          0          0          0          0          0          0          0 
     230.0      89.97       0.67        1.4         99       1070        713        629          0          0          0          0          0          0          0          0 
     235.0     102.24       0.59        1.5        108       1297        724        629          0          0          0          0          0          0          0          0 
     240.0     104.21       0.58        1.5        107       1592        721        629          0          0          0          0          0          0          0          0 
     245.0      78.72       0.76        2.4         93       2583        724        629          0          0          0          0          0          0          0          0 
     250.0      91.43       0.66        2.6        107       1914        726        629          0          0          0          0          0          0          0          0 
     255.0     104.59       0.57        1.2        108       1311        752        629          0          0          0          0          0          0          0          0 
     260.0     103.00       0.58        1.4         77       2350        742        629          0          0          0          0          0          0          0          0 
