 Bit Depth Clmn3 Lt N  %Cutt  #1   Code  #1  %Cutt  #2   Code  #2  %Cutt  #3   Code  #3  %Cutt  #4   Code  #4  %Cutt  #5   Code  #5 Tn ClmCo 1 Tn ClmCo 2 Tn ClmCo 3 
        ft        Nb.          %       Code          %       Code          %       Code          %       Code          %       Code       Code       Code       Code 
    101.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    101.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    101.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    101.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    101.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    101.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    101.00          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    104.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    110.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    114.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    114.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    114.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    114.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    114.99          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
    120.01          0          0          0          0          0          0          0          0          0          0          0          0          0          0 
